trip_id,trip_type,direction,service_date,cluster_id,requested_wave_dt,requested_wave_label,earliest_start_dt,latest_start_dt,planned_start_dt,planned_end_dt,trip_duration_min,route_distance_km,stop_count,peak_load,assigned_passengers,occupancy_pct,store_sequence,store_passenger_plan,stop_data_json
SLV_0001,IN,IN,2026-04-05,1,2026-04-05 22:00:00,2026-04-05 22:00,2026-04-05 18:56:13.568541,2026-04-05 19:56:13.568541,2026-04-05 19:45:00,2026-04-05 22:18:46.431459,153.77,94.223,1,1,1,4.55,KFC - Sabah Al Ahmad 2,KFC - Sabah Al Ahmad 2 (1),"[{""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-05 22:00:00"", ""allocated_passengers"": 1}]"
SLV_0002,OUT,OUT,2026-04-06,4,2026-04-06 12:00:00,2026-04-06 12:00,2026-04-06 12:00:00.000000,2026-04-06 12:40:00.000000,2026-04-06 12:00:00,2026-04-06 15:38:23.092195,218.38,135.144,1,1,1,4.55,Krispy Kreme - Khiran Hybrid O,Krispy Kreme - Khiran Hybrid O (1),"[{""store_id"": 11198790, ""store_name"": ""Krispy Kreme - Khiran Hybrid O"", ""latitude"": 28.67190978, ""longitude"": 48.3466288, ""cluster_id"": 4, ""wave_dt"": ""2026-04-06 12:00:00"", ""allocated_passengers"": 1}]"
SLV_0003,IN,IN,2026-04-08,1,2026-04-08 22:00:00,2026-04-08 22:00,2026-04-08 18:56:13.568541,2026-04-08 19:56:13.568541,2026-04-08 19:45:00,2026-04-08 22:18:46.431459,153.77,94.223,1,1,1,4.55,KFC - Sabah Al Ahmad 2,KFC - Sabah Al Ahmad 2 (1),"[{""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-08 22:00:00"", ""allocated_passengers"": 1}]"
SLV_0004,IN,IN,2026-04-09,1,2026-04-09 22:00:00,2026-04-09 22:00,2026-04-09 18:56:13.568541,2026-04-09 19:56:13.568541,2026-04-09 19:45:00,2026-04-09 22:18:46.431459,153.77,94.223,1,1,1,4.55,KFC - Sabah Al Ahmad 2,KFC - Sabah Al Ahmad 2 (1),"[{""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-09 22:00:00"", ""allocated_passengers"": 1}]"
SLV_0005,IN,IN,2026-04-10,1,2026-04-10 22:00:00,2026-04-10 22:00,2026-04-10 18:56:13.568541,2026-04-10 19:56:13.568541,2026-04-10 19:45:00,2026-04-10 22:18:46.431459,153.77,94.223,1,1,1,4.55,KFC - Sabah Al Ahmad 2,KFC - Sabah Al Ahmad 2 (1),"[{""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-10 22:00:00"", ""allocated_passengers"": 1}]"
SLV_0006,IN,IN,2026-04-11,1,2026-04-11 22:00:00,2026-04-11 22:00,2026-04-11 18:56:13.568541,2026-04-11 19:56:13.568541,2026-04-11 19:45:00,2026-04-11 22:18:46.431459,153.77,94.223,1,1,1,4.55,KFC - Sabah Al Ahmad 2,KFC - Sabah Al Ahmad 2 (1),"[{""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-11 22:00:00"", ""allocated_passengers"": 1}]"
