event_date,direction,wave_dt,store_id,store_name,latitude,longitude,cluster_id,wave_label,employees
2026-04-05,IN,2026-04-05 22:00:00,11128370,KFC - Sabah Al Ahmad 2,28.79203867,48.05321903,1,2026-04-05 22:00,1
2026-04-06,OUT,2026-04-06 12:00:00,11198790,Krispy Kreme - Khiran Hybrid O,28.67190978,48.3466288,4,2026-04-06 12:00,1
2026-04-08,IN,2026-04-08 22:00:00,11128370,KFC - Sabah Al Ahmad 2,28.79203867,48.05321903,1,2026-04-08 22:00,1
2026-04-09,IN,2026-04-09 22:00:00,11128370,KFC - Sabah Al Ahmad 2,28.79203867,48.05321903,1,2026-04-09 22:00,1
2026-04-10,IN,2026-04-10 22:00:00,11128370,KFC - Sabah Al Ahmad 2,28.79203867,48.05321903,1,2026-04-10 22:00,1
2026-04-11,IN,2026-04-11 22:00:00,11128370,KFC - Sabah Al Ahmad 2,28.79203867,48.05321903,1,2026-04-11 22:00,1
