trip_id,trip_type,service_date,bus_id,slot_type,desired_start_dt,candidate_start_dt,latest_start_dt,available_after_dt,required_buffer_min,projected_span_min,split_reset_flag,variant_seed,feasible_flag,reason
ORT_0049,IN,2026-04-06,7,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 11:13:27.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,7,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 11:13:27.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,7,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:13:27.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,7,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:13:27.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,8,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 18:14:50.400000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,8,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 18:14:50.400000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,8,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 18:14:50.400000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,8,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 18:14:50.400000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,8,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 18:14:50.400000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,9,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 11:41:24.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,9,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 11:41:24.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,9,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 11:41:24.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,9,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:41:24.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,9,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:41:24.000000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,10,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 09:27:13.800000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,10,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 09:27:13.800000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,10,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 09:27:13.800000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,10,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 09:27:13.800000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,10,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 09:27:13.800000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,11,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 11:36:55.200000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,11,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 11:36:55.200000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,11,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 11:36:55.200000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,11,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:36:55.200000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,11,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:36:55.200000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,12,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 11:27:48.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,12,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 11:27:48.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,12,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 11:27:48.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,12,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:27:48.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,12,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 11:27:48.600000,30,0.0,False,0,False,buffer_violation
