normalized_store_name,geo_store_name,geo_store_id,shift_store_names,shift_ids,strict_match
hardees village,Hardees - Village,11148160,['Hardees - Village'],[11148160],True
krispy kreme divonne,Krispy Kreme - Divonne,11198770,['Krispy Kreme - Divonne'],[11198770],True
br divonne,BR - Divonne,11228250,['BR - Divonne'],[11228250],True
wimpy divonne complex,Wimpy - Divonne Complex,11118400,['Wimpy - Divonne Complex'],[11118400],True
kfc qureen,KFC - Qureen,11127850,['KFC - Qureen'],[11127850],True
tgif the lake mall,TGIF - The Lake Mall,11187030,['TGIF - The Lake Mall'],[11187030],True
kfc adan,KFC - Adan,11128020,['KFC - Adan'],[11128020],True
hardees adan,Hardees - Adan,11148020,['Hardees - Adan'],[11148020],True
hardees al qureen,Hardees - Al Qureen,11147850,['Hardees - Al Qureen'],[11147850],True
br qurain 3,BR - Qurain 3,11227870,['BR - Qurain 3'],[11227870],True
kfc s al salem,KFC - S Al Salem,11127830,['KFC - S Al Salem'],[11127830],True
kfc sabah al salem 2,KFC - Sabah Al Salem 2,11128430,['KFC - Sabah Al Salem 2'],[11128430],True
hardees sabah al salem,Hardees - Sabah Al Salem,11147830,['Hardees - Sabah Al Salem'],[11147830],True
krispy kreme sabah al salem,Krispy Kreme - Sabah Al Salem,11198820,['Krispy Kreme - Sabah Al Salem'],[11198820],True
br sabah al salem block 1,BR - Sabah Al Salem Block 1,11228270,['BR - Sabah Al Salem Block 1'],[11228270],True
hardees sabah al salem block,Hardees - Sabah Al Salem Block,11148490,['Hardees - Sabah Al Salem Block'],[11148490],True
tikka fahaheel dk,Tikka - Fahaheel DK,11137130,['Tikka - Fahaheel DK'],[11137130],True
commissary chicken tikka kwt,Commissary Chicken Tikka KWT,2029001,['Commissary Chicken Tikka KWT'],[2029001],True
krispy kreme sabah al ahmed,Krispy Kreme - Sabah Al Ahmed,11198000,['Krispy Kreme - Sabah Al Ahmed'],[11198000],True
krispy kreme fintas co,Krispy Kreme - Fintas Co,11197110,['Krispy Kreme - Fintas Co'],[11197110],True
br al mangaf,BR - Al Mangaf,11228450,['BR - Al Mangaf'],[11228450],True
