service_date,total_demand_events,assigned_passengers,coverage_pct,scheduled_trip_count,unscheduled_trip_count,avg_occupancy_pct,weighted_avg_occupancy_pct,max_concurrent_trips,total_route_distance_km,duty_count,duty_count_over_9h,duty_count_over_10h,total_overtime_minutes,max_overtime_minutes,rescued_trip_count,handover_trip_count
2026-04-05,856,794,92.76,54,4,58.84,58.84,12,3374.505,27,2,0,57.06,54.63,2,30
2026-04-06,1222,1105,90.43,73,8,63.45,63.45,13,4532.813,27,4,0,143.5,54.29,2,32
2026-04-07,1186,1049,88.45,70,10,61.62,61.62,13,4373.103,27,0,0,0.0,0.0,5,29
2026-04-08,1229,1011,82.26,66,14,63.02,63.02,13,4411.351,27,4,0,147.28,51.03,2,25
2026-04-09,1263,1125,89.07,73,9,64.45,64.45,13,4399.78,27,4,0,170.53,54.62,3,30
2026-04-10,1270,1122,88.35,73,12,63.76,63.76,13,4496.412,27,4,0,129.82,49.89,5,32
2026-04-11,1258,1081,85.93,68,12,65.17,65.17,13,4383.534,27,4,0,109.39,56.99,2,26
2026-04-12,366,366,100.0,26,0,63.99,63.99,11,1478.647,15,0,0,0.0,0.0,0,2
